Sqr Ft (sqft),Beds,Bath,Lot Size (sqft),Age,Beds_Bath,Sqr Ft^2,Price ($)
7.496097345175956,3.0,2.0,8.669227347271736,45.0,7.5,3240000.0,4000.0000000000014
6.947937068614969,3.0,1.0,9.183688340978756,64.0,3.0,1081600.0,315000.0000000002
7.117205503164344,2.0,2.0,9.254835611862735,32.0,4.0,1517824.0,149900.0
7.632885505395133,4.0,3.0,9.069352678675205,68.0,12.0,4260096.0,229900.00000000006
7.88344635413774,5.0,3.0,9.227295812625597,29.0,15.0,7033104.0,439500.0000000003
7.1204443723924875,3.0,3.0,6.77078942390898,34.0,9.0,1527696.0,185000.00000000006
7.3427791893318455,3.0,2.0,8.76389700713946,4.0,6.0,2383936.0,179762.00000000015
7.193685818395112,3.0,2.0,8.835646922534773,27.0,6.0,1768900.0,169900.00000000003
7.845416036592485,5.0,3.0,8.936166649549195,21.0,15.0,6517809.0,420000.0
8.219056661060598,4.0,3.0,8.669227347271736,10.0,12.0,13764100.0,654999.9999999995
6.963189985870238,3.0,1.0,8.922791623969637,113.0,3.0,1115136.0,139900.0000000001
7.779048644925556,3.0,3.0,8.669227347271736,60.0,9.0,5707321.0,360000.0000000001
7.3783837129967145,2.0,1.0,8.67470962929122,67.0,2.0,2560000.0,280000.0
8.385032287813898,4.0,4.0,8.669227347271736,34.0,16.0,19184400.0,629899.9999999999
8.984443032465352,4.0,7.0,9.095266164130717,4.0,28.0,63632529.0,19942499.999999993
7.1770187659099,3.0,2.0,8.669227347271736,20.0,6.0,1710864.0,364000.00000000006
7.496097345175956,3.0,2.0,8.784927626058323,45.0,7.5,3240000.0,12999.999999999995
8.136518252115291,3.0,4.0,8.136518252115291,16.0,12.0,11669056.0,899899.9999999997
7.496097345175956,3.0,2.0,8.669227347271736,45.0,7.5,3240000.0,189900.00000000015
6.638567789166521,1.0,1.0,6.07993319509559,93.0,1.0,582169.0,1949999.999999999
7.496097345175956,3.0,2.0,8.669227347271736,45.0,7.5,3240000.0,150000.00000000006
7.496097345175956,3.0,2.0,8.84937050375457,45.0,7.5,3240000.0,2999.9999999999995
8.009363076630045,4.0,2.0,8.669227347271736,170.0,8.0,9048064.0,419900.0000000002
